anonId,printer,count,classes
job-33e3440eb5,LG-640,5,CANCELED
job-33e3440eb5,LG-640,13,CANCELED
job-993745b7fb,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-993745b7fb,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-993745b7fb,LG-640,2,CANCELED
job-4ac1d2549f,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-4ac1d2549f,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-4ac1d2549f,LG-640,4,CANCELED
job-09604b6991,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-09604b6991,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-fced492e05,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-1b2a5e14e1,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-0ecd7b546e,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-8907e57d64,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-24aa03d3c4,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-cb381f9b02,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-d645e10b9c,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-aa2360c821,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-a3f3949255,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-e3263571a8,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-2a4e04d3c7,LG-640,2,DUPLICATE_SUMMARY;LG640_CMYK_WHITE_COMBINED
job-2a4e04d3c7,LG-640,3,DUPLICATE_SUMMARY;LG640_CMYK_ONLY
job-2a4e04d3c7,LG-640,2,DUPLICATE_SUMMARY;LG640_CMYK_WHITE_COMBINED
job-3340393ca5,LG-640,2,DUPLICATE_SUMMARY;LG640_CMYK_WHITE_COMBINED
job-3340393ca5,LG-640,2,DUPLICATE_SUMMARY;LG640_CMYK_WHITE_COMBINED
job-3340393ca5,LG-640,2,DUPLICATE_SUMMARY;LG640_CMYK_WHITE_COMBINED
job-3340393ca5,LG-640,2,CANCELED;LG640_CMYK_WHITE_COMBINED
job-3340393ca5,LG-640,2,DUPLICATE_SUMMARY;LG640_WHITE_ONLY
job-3340393ca5,LG-640,2,DUPLICATE_SUMMARY;LG640_CMYK_WHITE_COMBINED
job-5aef1cf2c5,LG-640,10,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-5aef1cf2c5,LG-640,10,CANCELED
job-e61e0a52d9,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-448c7e5dde,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-2a8c1d1121,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-531d79afb9,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-5aef1cf2c5,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-54fe2e7dc2,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-3c4741f6dc,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-f100463c1c,LG-640,6,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-339376879a,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-a62143e834,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-339376879a,LG-640,4,CANCELED
job-3c4741f6dc,LG-640,4,CANCELED
job-f100463c1c,LG-640,6,CANCELED
job-8e3bbd99a6,LG-640,6,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-d1205ff3ed,LG-640,6,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-8e3bbd99a6,LG-640,3,OTHER_EVENT:New Job(Main Que);OTHER_EVENT:New Job(Queue A)
job-3c4741f6dc,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-2c85eb2d5c,LG-640,3,OTHER_EVENT:New Job(Queue A)
